# suite llms index
generated_at: 2026-02-14T04:57:32.002Z
root_count: 20
entry_count: 239

type	name	path	description
agent	Quality Engineer	Packs/copilot-quality-engineer-pack/.github/agents/quality-engineer.agent.md	Plans and implements deterministic tests and test seams, prioritising critical paths and reducing flakiness.
agent	Quality Gate Reviewer	Packs/copilot-quality-engineer-pack/.github/agents/quality-gate-reviewer.agent.md	Reviews changes for evidence of correctness: tests, determinism, coverage of critical paths, and maintainability.
agent	Test Implementer	Packs/copilot-quality-engineer-pack/.github/agents/test-implementer.agent.md	Implements tests and fixtures with repo conventions; avoids flakiness and keeps execution fast.
agent	Test Planner	Packs/copilot-quality-engineer-pack/.github/agents/test-planner.agent.md	Detects test stack, defines critical paths, and writes a minimal high-impact test plan.
prompt	brief:add-critical-tests	Packs/copilot-quality-engineer-pack/.github/prompts/add-critical-tests.prompt.md	>-
prompt	brief:contract-tests	Packs/copilot-quality-engineer-pack/.github/prompts/contract-tests.prompt.md	>-
prompt	brief:fixture-kit	Packs/copilot-quality-engineer-pack/.github/prompts/fixture-kit.prompt.md	>-
prompt	brief:make-tests-deterministic	Packs/copilot-quality-engineer-pack/.github/prompts/make-tests-deterministic.prompt.md	Remove flakiness by hardening locators, waits, fixtures, time, and randomness.
prompt	qa:quality-brief	Packs/copilot-quality-engineer-pack/.github/prompts/quality-brief.prompt.md	Ask for missing quality/testing constraints before proceeding.
prompt	qa:quality-review	Packs/copilot-quality-engineer-pack/.github/prompts/quality-review.prompt.md	>-
prompt	qa:quality-ship	Packs/copilot-quality-engineer-pack/.github/prompts/quality-ship.prompt.md	End-to-end quality pass: brief → plan → implement → de-flake → review.
skill	contract-testing-seams	Packs/copilot-quality-engineer-pack/.github/skills/contract-testing-seams/SKILL.md	Add contract tests for boundary interfaces and prevent accidental breaking changes.
skill	critical-path-inventory	Packs/copilot-quality-engineer-pack/.github/skills/critical-path-inventory/SKILL.md	Define and maintain a critical path inventory (top flows) and map them to tests to prevent regressions.
skill	deterministic-testing	Packs/copilot-quality-engineer-pack/.github/skills/deterministic-testing/SKILL.md	Make tests deterministic by controlling time, randomness, IO boundaries, and using stable locators and waits.
skill	flake-triage	Packs/copilot-quality-engineer-pack/.github/skills/flake-triage/SKILL.md	Systematically diagnose and eliminate flaky tests and reduce future flake risk.
agent	Build Hardener	Packs/copilot-release-supplychain-pack/.github/agents/build-hardener.agent.md	Hardens builds for repeatability and supply-chain hygiene: pin toolchains, lock dependencies, reduce nondeterminism.
agent	Provenance Attestor	Packs/copilot-release-supplychain-pack/.github/agents/provenance-attestor.agent.md	Configures build provenance attestations (SLSA provenance) using CI-native mechanisms (e.g., GitHub artifact attestations).
agent	Release Notes Curator	Packs/copilot-release-supplychain-pack/.github/agents/release-notes-curator.agent.md	Curates changelog and release notes: highlights, breaking changes, migrations, security notes, and known issues.
agent	Release & Supply Chain Engineer	Packs/copilot-release-supplychain-pack/.github/agents/release-supplychain-engineer.agent.md	Makes releases repeatable and auditable: provenance attestations, SBOMs, verification, and curated release notes.
agent	SBOM Maintainer	Packs/copilot-release-supplychain-pack/.github/agents/sbom-maintainer.agent.md	Generates and publishes SBOMs (CycloneDX or SPDX) for release artifacts and ensures linkage to versions and checksums.
agent	Verifier	Packs/copilot-release-supplychain-pack/.github/agents/verifier.agent.md	Adds verification steps/scripts for artifacts, attestations, and SBOM integrity and explains how to validate a release.
prompt	brief:attest-provenance	Packs/copilot-release-supplychain-pack/.github/prompts/attest-provenance.prompt.md	>-
prompt	brief:curate-release-notes	Packs/copilot-release-supplychain-pack/.github/prompts/curate-release-notes.prompt.md	>-
prompt	brief:generate-sbom	Packs/copilot-release-supplychain-pack/.github/prompts/generate-sbom.prompt.md	>-
prompt	brief:harden-builds	Packs/copilot-release-supplychain-pack/.github/prompts/harden-builds.prompt.md	>-
prompt	brief:release-brief	Packs/copilot-release-supplychain-pack/.github/prompts/release-brief.prompt.md	Ask for missing release constraints before adding supply-chain gates.
prompt	brief:release-ship	Packs/copilot-release-supplychain-pack/.github/prompts/release-ship.prompt.md	>-
prompt	brief:verify-release	Packs/copilot-release-supplychain-pack/.github/prompts/verify-release.prompt.md	Add verification docs/scripts for artifacts, attestations, and SBOM checks.
skill	artifact-verification	Packs/copilot-release-supplychain-pack/.github/skills/artifact-verification/SKILL.md	Document and implement verification steps for released artifacts: attestations, checksums/digests, and SBOM presence.
skill	release-notes-and-versioning	Packs/copilot-release-supplychain-pack/.github/skills/release-notes-and-versioning/SKILL.md	Curate changelogs/release notes with SemVer discipline, migrations, and security notes.
skill	reproducible-build-hardening	Packs/copilot-release-supplychain-pack/.github/skills/reproducible-build-hardening/SKILL.md	Harden builds for repeatability: pinned toolchains, deterministic archives, controlled env/time, minimal artifact surface.
skill	sbom-generation-and-publication	Packs/copilot-release-supplychain-pack/.github/skills/sbom-generation-and-publication/SKILL.md	Generate SBOMs (CycloneDX or SPDX), link them to artifacts/versions, and publish alongside releases.
skill	slsa-provenance-attestations	Packs/copilot-release-supplychain-pack/.github/skills/slsa-provenance-attestations/SKILL.md	Configure and verify build provenance attestations aligned to SLSA provenance expectations; prefer CI-native attestations.
agent	ASVS Mapper	Packs/copilot-security-gatekeeper-pack/.github/agents/asvs-mapper.agent.md	Maps scoped changes to OWASP ASVS requirements and produces a concrete checklist and implementation notes.
agent	Secure Implementer	Packs/copilot-security-gatekeeper-pack/.github/agents/secure-implementer.agent.md	Implements security mitigations with minimal diffs: authz, validation, safe errors, rate limiting, secrets hygiene, and tests.
agent	Security Gatekeeper	Packs/copilot-security-gatekeeper-pack/.github/agents/security-gatekeeper.agent.md	Threat-models changes, maps to OWASP ASVS, enforces safe error handling, and blocks risky deps before shipping.
agent	Security Reviewer	Packs/copilot-security-gatekeeper-pack/.github/agents/security-reviewer.agent.md	Ruthlessly reviews changes for common vuln classes and verification completeness; produces exact fixes.
agent	Threat Modeler	Packs/copilot-security-gatekeeper-pack/.github/agents/threat-modeler.agent.md	Produces practical threat models and abuse cases for features/endpoints, with mitigations and verification notes.
prompt	brief:asvs-checklist	Packs/copilot-security-gatekeeper-pack/.github/prompts/asvs-checklist.prompt.md	>-
prompt	brief:dependency-risk-triage	Packs/copilot-security-gatekeeper-pack/.github/prompts/dependency-risk-triage.prompt.md	>-
prompt	brief:secure-error-model	Packs/copilot-security-gatekeeper-pack/.github/prompts/secure-error-model.prompt.md	>-
prompt	brief:secure-ship	Packs/copilot-security-gatekeeper-pack/.github/prompts/secure-ship.prompt.md	>-
prompt	sec:security-brief	Packs/copilot-security-gatekeeper-pack/.github/prompts/security-brief.prompt.md	Ask for missing security requirements and constraints before proceeding.
prompt	sec:security-review	Packs/copilot-security-gatekeeper-pack/.github/prompts/security-review.prompt.md	>-
prompt	brief:threat-model	Packs/copilot-security-gatekeeper-pack/.github/prompts/threat-model.prompt.md	Produce a threat model + abuse cases + mitigations for the selected change.
skill	asvs-scoped-checklist	Packs/copilot-security-gatekeeper-pack/.github/skills/asvs-scoped-checklist/SKILL.md	Create a scoped OWASP ASVS checklist for a change and map requirements to implementation and verification steps.
skill	dependency-risk-triage	Packs/copilot-security-gatekeeper-pack/.github/skills/dependency-risk-triage/SKILL.md	Assess dependency risk (maintenance, attack surface, transitive deps) and propose mitigations (pinning, alternatives, scope reduction).
skill	safe-errors-and-logging	Packs/copilot-security-gatekeeper-pack/.github/skills/safe-errors-and-logging/SKILL.md	Standardise safe error handling and structured logging with redaction and stable error codes.
skill	threat-modeling-lite	Packs/copilot-security-gatekeeper-pack/.github/skills/threat-modeling-lite/SKILL.md	Practical threat modeling (assets/boundaries/STRIDE/abuse cases) with mitigation and verification notes.
agent	Suite Chief of Staff	Packs/copilot-suite-harmoniser-pack/.github/agents/suite-chief-of-staff.agent.md	Routes work across installed packs, enforces namespacing, and avoids file collisions.
prompt	suite:route	Packs/copilot-suite-harmoniser-pack/.github/prompts/suite/suite:route.prompt.md	Route the request to the right pack orchestrator (if installed) or produce a minimal plan.
agent	UX Implementer	Packs/copilot-ux-agent-pack/.github/agents/ux-implementer.agent.md	Implement UX changes with minimal diffs; cover states and accessibility; keep consistency.
agent	UXPrototyper	Packs/copilot-ux-agent-pack/.github/agents/ux-prototyper.agent.md	Turn product intent into a working prototype with strong UX, states, and accessibility.
agent	UX Researcher	Packs/copilot-ux-agent-pack/.github/agents/ux-researcher.agent.md	Read-only analysis of codebase patterns and UX constraints; propose a clear UX contract and plan.
agent	UX Reviewer	Packs/copilot-ux-agent-pack/.github/agents/ux-reviewer.agent.md	Review UX changes for clarity, a11y, states, copy, and consistency; produce actionable fixes.
prompt	brief:component-spec	Packs/copilot-ux-agent-pack/.github/prompts/component-spec.prompt.md	Generate a component spec: props, variants, a11y contract, and examples.
prompt	brief:prototype-screen	Packs/copilot-ux-agent-pack/.github/prompts/prototype-screen.prompt.md	Build a clickable prototype for a described screen/flow with strong UX states.
prompt	brief:tokens-hardening	Packs/copilot-ux-agent-pack/.github/prompts/tokens-hardening.prompt.md	Propose/align design tokens and refactor a component to use them consistently.
prompt	brief:ux-audit	Packs/copilot-ux-agent-pack/.github/prompts/ux-audit.prompt.md	>-
skill	accessibility-sweep	Packs/copilot-ux-agent-pack/.github/skills/accessibility-sweep/SKILL.md	Accessibility-first sweep: semantics, keyboard flow, focus, and ARIA correctness. Use when shipping UI changes.
skill	ux-heuristic-audit	Packs/copilot-ux-agent-pack/.github/skills/ux-heuristic-audit/SKILL.md	Heuristic UX audit workflow (including states + accessibility) with an impact/effort ranking and concrete fixes.
skill	ux-prototype-workflow	Packs/copilot-ux-agent-pack/.github/skills/ux-prototype-workflow/SKILL.md	End-to-end workflow for turning intent into a working UI prototype with states, accessibility, and consistency.
